"rental_id","year_of_rental","month_of_rental","category_name"
13578,2006,2,"New"
13106,2006,2,"Drama"
13577,2006,2,"Games"
14243,2006,2,"Animation"
12970,2006,2,"Comedy"
13351,2006,2,"Drama"
12665,2006,2,"Children"
14915,2006,2,"New"
13464,2006,2,"New"
13780,2006,2,"Comedy"
14734,2006,2,"Horror"
14606,2006,2,"Travel"
14318,2006,2,"Travel"
11577,2006,2,"Sci-Fi"
15458,2006,2,"Family"
14060,2006,2,"Sports"
12959,2006,2,"Foreign"
12064,2006,2,"Action"
13968,2006,2,"Documentary"
12066,2006,2,"Action"
14604,2006,2,"Action"
15234,2006,2,"Foreign"
13965,2006,2,"Drama"
11739,2006,2,"Horror"
12736,2006,2,"Travel"
15282,2006,2,"Sports"
13561,2006,2,"Comedy"
15745,2006,2,"Horror"
13333,2006,2,"Animation"
15021,2006,2,"Classics"
15966,2006,2,"Travel"
11909,2006,2,"Children"
13209,2006,2,"Family"
11593,2006,2,"Comedy"
14531,2006,2,"Music"
15371,2006,2,"Horror"
13079,2006,2,"Animation"
15454,2006,2,"Music"
15326,2006,2,"New"
11754,2006,2,"Animation"
12786,2006,2,"Action"
14137,2006,2,"Animation"
11757,2006,2,"Travel"
14526,2006,2,"Family"
13952,2006,2,"Family"
12938,2006,2,"Action"
15717,2006,2,"Games"
13756,2006,2,"Action"
15862,2006,2,"Action"
15894,2006,2,"Documentary"
13753,2006,2,"Music"
14220,2006,2,"Action"
14219,2006,2,"Sports"
11611,2006,2,"Travel"
12277,2006,2,"New"
15714,2006,2,"Travel"
15407,2006,2,"Sports"
12457,2006,2,"Animation"
14216,2006,2,"Action"
15655,2006,2,"Classics"
13428,2006,2,"Action"
13538,2006,2,"Comedy"
14374,2006,2,"Family"
13941,2006,2,"Sports"
12682,2006,2,"Sports"
13056,2006,2,"Animation"
11942,2006,2,"Animation"
13534,2006,2,"Action"
14954,2006,2,"Foreign"
13182,2006,2,"Family"
12116,2006,2,"New"
11782,2006,2,"Animation"
13421,2006,2,"Horror"
15167,2006,2,"New"
12915,2006,2,"Music"
13419,2006,2,"Children"
13178,2006,2,"Sci-Fi"
14516,2006,2,"New"
12672,2006,2,"Foreign"
12698,2006,2,"Sci-Fi"
13298,2006,2,"Animation"
12127,2006,2,"Sports"
15710,2006,2,"Classics"
15314,2006,2,"Comedy"
12130,2006,2,"Animation"
13295,2006,2,"Classics"
15875,2006,2,"Foreign"
14204,2006,2,"Documentary"
12719,2006,2,"Animation"
12489,2006,2,"Music"
12902,2006,2,"Sports"
12901,2006,2,"Games"
15441,2006,2,"Travel"
11496,2006,2,"Classics"
14769,2006,2,"Family"
14361,2006,2,"Family"
12141,2006,2,"Animation"
11646,2006,2,"Action"
12897,2006,2,"Animation"
12144,2006,2,"Sci-Fi"
15735,2006,2,"Animation"
15780,2006,2,"Family"
12759,2006,2,"Sci-Fi"
13161,2006,2,"Music"
11652,2006,2,"Children"
14018,2006,2,"Music"
12506,2006,2,"New"
12891,2006,2,"Sports"
15645,2006,2,"Sports"
14107,2006,2,"Horror"
11657,2006,2,"Sports"
14503,2006,2,"Animation"
14278,2006,2,"Horror"
15644,2006,2,"Foreign"
13025,2006,2,"Animation"
15778,2006,2,"Games"
15577,2006,2,"Animation"
13022,2006,2,"Animation"
12610,2006,2,"Documentary"
14760,2006,2,"Horror"
14426,2006,2,"Comedy"
14425,2006,2,"Family"
15542,2006,2,"Horror"
13719,2006,2,"Drama"
12524,2006,2,"Games"
13713,2006,2,"Sports"
13390,2006,2,"Sci-Fi"
11995,2006,2,"Classics"
11672,2006,2,"Games"
14878,2006,2,"New"
12746,2006,2,"Games"
14267,2006,2,"Family"
11676,2006,2,"Action"
12352,2006,2,"Family"
12001,2006,2,"Sports"
15430,2006,2,"Games"
15729,2006,2,"Music"
14933,2006,2,"Games"
13008,2006,2,"Foreign"
12645,2006,2,"Sports"
15094,2006,2,"Action"
15297,2006,2,"Horror"
12009,2006,2,"Music"
13261,2006,2,"Sports"
14415,2006,2,"Action"
14175,2006,2,"Drama"
14488,2006,2,"Travel"
11847,2006,2,"Comedy"
11848,2006,2,"Animation"
13898,2006,2,"Children"
12716,2006,2,"Games"
14172,2006,2,"Foreign"
13374,2006,2,"Games"
14928,2006,2,"Games"
11541,2006,2,"Foreign"
13798,2006,2,"Classics"
13486,2006,2,"New"
12792,2006,2,"Animation"
15294,2006,2,"Horror"
15293,2006,2,"New"
15794,2006,2,"Documentary"
13246,2006,2,"Drama"
12988,2006,2,"Music"
15813,2006,2,"Documentary"
15191,2006,2,"New"
14616,2006,2,"Horror"
11866,2006,2,"Foreign"
13587,2006,2,"Classics"
15423,2006,2,"Comedy"
14741,2006,2,"Music"
13584,2006,2,"Children"
11709,2006,2,"Action"
15695,2006,2,"Travel"
14160,2006,2,"Action"
12574,2006,2,"Sci-Fi"
15867,2006,2,"Family"
15497,2006,2,"Drama"
15532,2006,2,"Games"
12101,2006,2,"Classics"
13108,2006,2,"Foreign"
11563,2006,2,"Sci-Fi"
12222,2006,2,"Games"
12609,2005,8,"Children"
12608,2005,8,"Sports"
12607,2005,8,"Animation"
12606,2005,8,"Drama"
12605,2005,8,"Animation"
12604,2005,8,"Drama"
12603,2005,8,"Children"
12602,2005,8,"New"
12601,2005,8,"Sports"
12600,2005,8,"Sports"
12599,2005,8,"Comedy"
12598,2005,8,"Classics"
12597,2005,8,"Children"
12596,2005,8,"Horror"
12595,2005,8,"Music"
12594,2005,8,"Documentary"
12593,2005,8,"Classics"
12592,2005,8,"Foreign"
12591,2005,8,"Music"
